LineId,Date,Time,Pid,Level,Component,Content,EventId,EventTemplate
1,81109,20116,230,INFO,dfs.DataNode$PacketResponder,Received block blk_-2192327715117070203 of size 134217728 from /10.250.78.32,E11,Received block blk_<*> of size <*> from /<*>
2,81113,142615,970,ERROR,dfs.DataNode,DataNode failed to transfer block blk_999276494913637173 to 10.251.157.244:35768 due to timeout,E22,DataNode failed to transfer block blk_<*> to <*>:<*> due to timeout
3,81111,214528,759,CRITICAL,dfs.DataNode,Disk failure on DataNode 10.251.37.37:50010: volume /mnt/hadoop/dfs/data/subdir3 is unwritable,E53,Disk failure on DataNode <*>:<*>: volume /<*> is unwritable
4,81110,12423,59,CRITICAL,dfs.FSNamesystem,HDFS cluster entering safe mode: only 49% blocks replicated,E52,HDFS cluster entering safe mode: only <*>% blocks replicated
5,81109,163212,937,INFO,dfs.DataNode$PacketResponder,Received block blk_-3555163829693389650 of size 33554432 from /10.250.27.38,E11,Received block blk_<*> of size <*> from /<*>
6,81113,174907,617,CRITICAL,dfs.DataNode,Disk failure on DataNode 10.250.122.127:50010: volume /mnt/hadoop/dfs/data/subdir8 is unwritable,E53,Disk failure on DataNode <*>:<*>: volume /<*> is unwritable
7,81112,133359,985,WARN,dfs.DataNode,Low disk space on DataNode 10.250.43.154:50010: only 380 MB remaining,E32,Low disk space on DataNode <*>:<*>: only <*> MB remaining
8,81111,141555,766,CRITICAL,dfs.FSNamesystem,NameNode lost contact with DataNode 10.250.196.239:50010: marking as dead,E50,NameNode lost contact with DataNode <*>:<*>: marking as dead
9,81110,33631,50,WARN,dfs.FSNamesystem,"Replication of blk_5845813254926139910 queued for 235 seconds, possible bottleneck",E33,"Replication of blk_<*> queued for <*> seconds, possible bottleneck"
10,81112,80740,487,SECURITY,dfs.DataNode$DataXceiver,SSL handshake failure with 10.251.150.44:61935: certificate not trusted,E43,SSL handshake failure with <*>:<*>: certificate not trusted
11,81110,122200,113,WARN,dfs.DataNode,Low disk space on DataNode 10.251.126.51:50010: only 186 MB remaining,E32,Low disk space on DataNode <*>:<*>: only <*> MB remaining
12,81112,202909,281,INFO,dfs.DataNode$PacketResponder,PacketResponder 1 for block blk_-2632361047226684943 terminating,E10,PacketResponder <*> for block blk_<*> terminating
13,81112,223040,196,INFO,dfs.DataNode$PacketResponder,Received block blk_-7512408887755649046 of size 16777216 from /10.250.76.52,E11,Received block blk_<*> of size <*> from /<*>
14,81110,103205,980,ERROR,dfs.DataNode$DataXceiver,10.250.43.249:50010:Got exception while serving blk_8581969540766248270 to /10.250.54.172: Connection reset by peer,E20,<*>:<*>:Got exception while serving blk_<*> to /<*>: Connection reset by peer
15,81110,75000,343,CRITICAL,dfs.FSNamesystem,HDFS cluster entering safe mode: only 55% blocks replicated,E52,HDFS cluster entering safe mode: only <*>% blocks replicated
16,81110,120027,58,CRITICAL,dfs.DataNode,Disk failure on DataNode 10.250.206.206:50010: volume /mnt/hadoop/dfs/data/subdir4 is unwritable,E53,Disk failure on DataNode <*>:<*>: volume /<*> is unwritable
17,81111,55641,839,CRITICAL,dfs.FSNamesystem,HDFS cluster entering safe mode: only 32% blocks replicated,E52,HDFS cluster entering safe mode: only <*>% blocks replicated
18,81111,230415,365,INFO,dfs.FSNamesystem,BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.43.163:50010 is added to blk_7765683373854185738 size 134217728,E6,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*>:<*> is added to blk_<*> size <*>
19,81109,91613,157,CRITICAL,dfs.DataBlockScanner,Corrupt block blk_-9533598079737565618 detected on 10.251.21.95:50010: checksum mismatch,E51,Corrupt block blk_<*> detected on <*>:<*>: checksum mismatch
20,81113,61816,58,ERROR,dfs.FSNamesystem,Failed to replicate block blk_4842306017670939569: No live DataNodes available,E23,Failed to replicate block blk_<*>: No live DataNodes available
21,81110,43052,174,SECURITY,dfs.DataNode$DataXceiver,SSL handshake failure with 10.250.101.202:40449: certificate not trusted,E43,SSL handshake failure with <*>:<*>: certificate not trusted
22,81111,41517,670,INFO,dfs.DataNode$DataXceiver,Receiving block blk_2737035552545025315 src: /10.251.53.133:63392 dest: /10.250.192.101:50010,E13,Receiving block blk_<*> src: /<*>:<*> dest: /<*>:<*>
23,81112,182119,93,CRITICAL,dfs.DataNode,Disk failure on DataNode 10.250.42.160:50010: volume /mnt/hadoop/dfs/data/subdir7 is unwritable,E53,Disk failure on DataNode <*>:<*>: volume /<*> is unwritable
24,81111,111141,582,ERROR,dfs.DataNode,DataNode failed to transfer block blk_9682785026861341111 to 10.250.36.252:51949 due to timeout,E22,DataNode failed to transfer block blk_<*> to <*>:<*> due to timeout
25,81112,61842,519,ERROR,dfs.FSNamesystem,Failed to replicate block blk_-688180338008454110: No live DataNodes available,E23,Failed to replicate block blk_<*>: No live DataNodes available
26,81110,142021,789,INFO,dfs.DataNode$PacketResponder,PacketResponder 3 for block blk_-2223501488388244109 terminating,E10,PacketResponder <*> for block blk_<*> terminating
27,81110,232535,428,SECURITY,dfs.FSNamesystem,Permission denied: 10.251.193.56 attempted to write to protected path /user/secure/part-00428,E42,Permission denied: <*> attempted to write to protected path /<*>
28,81110,103634,791,SECURITY,dfs.DataNode$DataXceiver,SSL handshake failure with 10.251.143.136:49098: certificate not trusted,E43,SSL handshake failure with <*>:<*>: certificate not trusted
29,81109,55538,721,WARN,dfs.DataNode,Low disk space on DataNode 10.250.2.143:50010: only 557 MB remaining,E32,Low disk space on DataNode <*>:<*>: only <*> MB remaining
30,81109,141157,236,CRITICAL,dfs.FSNamesystem,NameNode lost contact with DataNode 10.251.19.183:50010: marking as dead,E50,NameNode lost contact with DataNode <*>:<*>: marking as dead
